driver,prev5_avg,prev5_points,points_behind_leader,percent_of_max,position,race_number,future_results
L. NorrisMcLaren,0.0,[],0.0,1.0,0.0,0.0,19.0
M. VerstappenRed Bull Racing,0.0,[],0.016548463356973995,0.72,0.05,0.0,18.0
O. PiastriMcLaren,0.0,[],0.054373522458628844,0.08,0.4,0.0,32.0
G. RussellMercedes,0.0,[],0.02364066193853428,0.6,0.1,0.0,20.0
C. LeclercFerrari,0.0,[],0.04964539007092199,0.16,0.35,0.0,4.0
L. HamiltonFerrari,0.0,[],0.05673758865248227,0.04,0.45,0.0,8.0
A. AntonelliMercedes,0.0,[],0.030732860520094562,0.48,0.15,0.0,10.0
A. AlbonWilliams,0.0,[],0.03546099290780142,0.4,0.2,0.0,6.0
C. SainzWilliams,0.0,[],0.0591016548463357,0.0,0.5,0.0,1.0
F. AlonsoAston Martin Racing,0.0,[],0.0591016548463357,0.0,0.55,0.0,0.0
N. HulkenbergSauber,0.0,[],0.04491725768321513,0.24,0.3,0.0,0.0
I. HadjarRed Bull Racing,0.0,[],0.0591016548463357,0.0,0.6,0.0,0.0
O. BearmanHaas F1 Team,0.0,[],0.0591016548463357,0.0,0.65,0.0,4.0
L. LawsonRacing Bulls,0.0,[],0.0591016548463357,0.0,0.7,0.0,0.0
E. OconHaas F1 Team,0.0,[],0.0591016548463357,0.0,0.75,0.0,10.0
L. StrollAston Martin Racing,0.0,[],0.04018912529550828,0.32,0.25,0.0,2.0
Y. TsunodaRed Bull Racing,0.0,[],0.0591016548463357,0.0,0.8,0.0,3.0
P. GaslyAlpine,0.0,[],0.0591016548463357,0.0,0.85,0.0,0.0
G. BortoletoSauber,0.0,[],0.0591016548463357,0.0,0.9,0.0,0.0
F. ColapintoAlpine,0.0,[],0.0591016548463357,0.0,0.95,0.0,0.0
J. DoohanAlpine,0.0,[],0.0591016548463357,0.0,1.0,0.0,0.0
L. NorrisMcLaren,0.9689922480620154,[25.0],0.0,1.0,0.0,0.043478260869565216,18.0
M. VerstappenRed Bull Racing,0.6976744186046512,[18.0],0.018912529550827423,0.8181818181818182,0.05,0.043478260869565216,25.0
O. PiastriMcLaren,0.07751937984496124,[2.0],0.02364066193853428,0.7727272727272727,0.15,0.043478260869565216,15.0
G. RussellMercedes,0.5813953488372093,[15.0],0.02127659574468085,0.7954545454545454,0.1,0.043478260869565216,10.0
C. LeclercFerrari,0.15503875968992248,[4.0],0.0851063829787234,0.18181818181818182,0.45,0.043478260869565216,12.0
L. HamiltonFerrari,0.03875968992248062,[1.0],0.08274231678486997,0.20454545454545456,0.4,0.043478260869565216,6.0
A. AntonelliMercedes,0.46511627906976744,[12.0],0.05200945626477541,0.5,0.2,0.043478260869565216,8.0
A. AlbonWilliams,0.38759689922480617,[10.0],0.06619385342789598,0.36363636363636365,0.25,0.043478260869565216,2.0
C. SainzWilliams,0.0,[0.0],0.1016548463356974,0.022727272727272728,0.65,0.043478260869565216,0.0
F. AlonsoAston Martin Racing,0.0,[0.0],0.10401891252955082,0.0,0.7,0.043478260869565216,0.0
N. HulkenbergSauber,0.23255813953488372,[6.0],0.08983451536643026,0.13636363636363635,0.5,0.043478260869565216,0.0
I. HadjarRed Bull Racing,0.0,[0.0],0.10401891252955082,0.0,0.75,0.043478260869565216,4.0
O. BearmanHaas F1 Team,0.0,[0.0],0.09456264775413711,0.09090909090909091,0.55,0.043478260869565216,1.0
L. LawsonRacing Bulls,0.0,[0.0],0.10401891252955082,0.0,0.8,0.043478260869565216,0.0
E. OconHaas F1 Team,0.0,[0.0],0.08037825059101655,0.22727272727272727,0.3,0.043478260869565216,0.0
L. StrollAston Martin Racing,0.31007751937984496,[8.0],0.08037825059101655,0.22727272727272727,0.35,0.043478260869565216,0.0
Y. TsunodaRed Bull Racing,0.0,[0.0],0.09692671394799054,0.06818181818181818,0.6,0.043478260869565216,0.0
P. GaslyAlpine,0.0,[0.0],0.10401891252955082,0.0,0.85,0.043478260869565216,0.0
G. BortoletoSauber,0.0,[0.0],0.10401891252955082,0.0,0.9,0.043478260869565216,0.0
F. ColapintoAlpine,0.0,[0.0],0.10401891252955082,0.0,0.95,0.043478260869565216,0.0
J. DoohanAlpine,0.0,[0.0],0.10401891252955082,0.0,1.0,0.043478260869565216,0.0
L. NorrisMcLaren,0.8527131782945736,"[25.0, 19.0]",0.0,1.0,0.0,0.08695652173913043,15.0
M. VerstappenRed Bull Racing,0.6976744186046512,"[18.0, 18.0]",0.002364066193853428,0.9838709677419355,0.05,0.08695652173913043,8.0
O. PiastriMcLaren,0.6589147286821705,"[2.0, 32.0]",0.030732860520094562,0.7903225806451613,0.1,0.08695652173913043,25.0
G. RussellMercedes,0.6782945736434108,"[15.0, 20.0]",0.04018912529550828,0.7258064516129032,0.15,0.08695652173913043,18.0
C. LeclercFerrari,0.15503875968992248,"[4.0, 4.0]",0.09929078014184398,0.3225806451612903,0.25,0.08695652173913043,12.0
L. HamiltonFerrari,0.1744186046511628,"[1.0, 8.0]",0.1111111111111111,0.24193548387096775,0.35,0.08695652173913043,10.0
A. AntonelliMercedes,0.4263565891472868,"[12.0, 10.0]",0.07565011820330969,0.4838709677419355,0.2,0.08695652173913043,0.0
A. AlbonWilliams,0.31007751937984496,"[10.0, 6.0]",0.10401891252955082,0.2903225806451613,0.3,0.08695652173913043,0.0
C. SainzWilliams,0.01937984496124031,"[0.0, 1.0]",0.14420803782505912,0.016129032258064516,0.7,0.08695652173913043,0.0
F. AlonsoAston Martin Racing,0.0,"[0.0, 0.0]",0.14657210401891252,0.0,0.75,0.08695652173913043,0.0
N. HulkenbergSauber,0.11627906976744186,"[6.0, 0.0]",0.13238770685579196,0.0967741935483871,0.5,0.08695652173913043,0.0
I. HadjarRed Bull Racing,0.0,"[0.0, 0.0]",0.13711583924349882,0.06451612903225806,0.6,0.08695652173913043,0.0
O. BearmanHaas F1 Team,0.07751937984496124,"[0.0, 4.0]",0.1347517730496454,0.08064516129032258,0.55,0.08695652173913043,1.0
L. LawsonRacing Bulls,0.0,"[0.0, 0.0]",0.14657210401891252,0.0,0.8,0.08695652173913043,0.0
E. OconHaas F1 Team,0.19379844961240308,"[0.0, 10.0]",0.12293144208037825,0.16129032258064516,0.4,0.08695652173913043,4.0
L. StrollAston Martin Racing,0.19379844961240308,"[8.0, 2.0]",0.12293144208037825,0.16129032258064516,0.45,0.08695652173913043,0.0
Y. TsunodaRed Bull Racing,0.05813953488372093,"[0.0, 3.0]",0.13947990543735225,0.04838709677419355,0.65,0.08695652173913043,2.0
P. GaslyAlpine,0.0,"[0.0, 0.0]",0.14657210401891252,0.0,0.85,0.08695652173913043,6.0
G. BortoletoSauber,0.0,"[0.0, 0.0]",0.14657210401891252,0.0,0.9,0.08695652173913043,0.0
F. ColapintoAlpine,0.0,"[0.0, 0.0]",0.14657210401891252,0.0,0.95,0.08695652173913043,0.0
J. DoohanAlpine,0.0,"[0.0, 0.0]",0.14657210401891252,0.0,1.0,0.08695652173913043,0.0
L. NorrisMcLaren,0.8010335917312662,"[25.0, 19.0, 18.0]",0.0,1.0,0.0,0.13043478260869565,12.0
